epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,792.176,1.10573,1.97229,1.07779,0.79706,0.72782,0.76592,0.57259,0.8683,1.37322,0.94804,0.000414604,0.000414604,0.000414604
2,1282.4,1.10275,1.22313,1.05187,0.80708,0.80123,0.82165,0.58484,0.82808,1.20307,0.94221,0.000814811,0.000814811,0.000814811
3,1759.06,1.03883,1.06777,1.04607,0.86331,0.81092,0.83768,0.59911,0.80886,0.98796,0.94915,0.00119852,0.00119852,0.00119852
4,2200.07,1.02934,0.99331,1.03628,0.87762,0.82318,0.86359,0.63595,0.80907,0.97251,0.94933,0.00117575,0.00117575,0.00117575
5,2637.03,1.01032,0.92091,1.03018,0.84416,0.81563,0.85842,0.62872,0.82651,0.71271,0.93533,0.001151,0.001151,0.001151
6,3067.03,1.01186,0.83191,1.01791,0.91493,0.85422,0.89785,0.65351,0.79118,0.69126,0.9186,0.00112625,0.00112625,0.00112625
7,3497.21,0.96733,0.795,1.01865,0.88824,0.86175,0.88591,0.66754,0.71481,0.56948,0.90022,0.0011015,0.0011015,0.0011015
8,3927.66,0.94104,0.74447,1.01102,0.88846,0.84866,0.88927,0.67229,0.68951,0.56413,0.89384,0.00107675,0.00107675,0.00107675
9,4356.81,0.93756,0.74855,1.00693,0.9019,0.87525,0.90777,0.68522,0.70593,0.53456,0.90633,0.001052,0.001052,0.001052
10,4784.62,0.92729,0.72559,1.0073,0.92465,0.85834,0.90409,0.69525,0.69478,0.5136,0.89312,0.00102725,0.00102725,0.00102725
11,5215.53,0.91115,0.66912,0.98532,0.89681,0.87727,0.89411,0.67843,0.66877,0.49098,0.88653,0.0010025,0.0010025,0.0010025
12,5644.81,0.91898,0.69051,0.99672,0.92441,0.8518,0.89877,0.69796,0.69653,0.46187,0.88858,0.00097775,0.00097775,0.00097775
13,6073.23,0.89351,0.65317,0.99161,0.90902,0.88829,0.91002,0.70504,0.69659,0.44884,0.89308,0.000953,0.000953,0.000953
14,6504.55,0.90175,0.65704,0.98925,0.90956,0.89575,0.91157,0.69794,0.69293,0.44028,0.88334,0.00092825,0.00092825,0.00092825
15,6930.39,0.88132,0.63013,0.99149,0.91357,0.87914,0.90106,0.70872,0.65184,0.41755,0.87052,0.0009035,0.0009035,0.0009035
16,7358.65,0.89986,0.63173,0.98902,0.9177,0.87372,0.9089,0.71377,0.63506,0.4247,0.87199,0.00087875,0.00087875,0.00087875
17,7783.32,0.86982,0.62887,0.9753,0.90446,0.89918,0.91163,0.71203,0.64317,0.40089,0.87301,0.000854,0.000854,0.000854
18,8208.84,0.8685,0.63095,0.97832,0.91122,0.89715,0.91178,0.71036,0.64737,0.40361,0.86979,0.00082925,0.00082925,0.00082925
19,8634.14,0.82713,0.58811,0.96724,0.91438,0.90035,0.9127,0.71916,0.63421,0.38942,0.87179,0.0008045,0.0008045,0.0008045
20,9061.77,0.8545,0.60125,0.97536,0.91562,0.89573,0.90885,0.71591,0.66077,0.39236,0.87317,0.00077975,0.00077975,0.00077975
21,9487.57,0.83916,0.58816,0.96829,0.93014,0.8739,0.91381,0.72281,0.61983,0.38703,0.86487,0.000755,0.000755,0.000755
22,9918.52,0.8168,0.57314,0.96092,0.9118,0.89854,0.91618,0.72269,0.63208,0.38759,0.87145,0.00073025,0.00073025,0.00073025
23,10346,0.82057,0.58437,0.96533,0.92857,0.89465,0.91281,0.71672,0.6168,0.37976,0.86668,0.0007055,0.0007055,0.0007055
24,10776.6,0.8139,0.57471,0.96482,0.92059,0.88579,0.90805,0.71364,0.60562,0.36887,0.8606,0.00068075,0.00068075,0.00068075
25,11204.2,0.81789,0.56935,0.95695,0.9118,0.89226,0.91233,0.72012,0.63615,0.37729,0.86725,0.000656,0.000656,0.000656
26,11630,0.79045,0.5603,0.95395,0.91126,0.90245,0.91077,0.73142,0.60189,0.37119,0.85575,0.00063125,0.00063125,0.00063125
27,12060.3,0.79628,0.56049,0.95815,0.92467,0.90149,0.91455,0.72539,0.62281,0.36409,0.86372,0.0006065,0.0006065,0.0006065
28,12486.6,0.79612,0.56026,0.95913,0.90813,0.88661,0.9097,0.72523,0.59799,0.36732,0.86054,0.00058175,0.00058175,0.00058175
29,12912.8,0.79984,0.55989,0.95454,0.93058,0.90387,0.91587,0.72785,0.59712,0.35394,0.84924,0.000557,0.000557,0.000557
30,13338.8,0.77821,0.55485,0.94084,0.92599,0.89544,0.92333,0.74056,0.58974,0.34175,0.84991,0.00053225,0.00053225,0.00053225
31,13768.8,0.78532,0.54634,0.95268,0.9234,0.90777,0.91645,0.7368,0.5774,0.33745,0.84727,0.0005075,0.0005075,0.0005075
32,14196,0.76254,0.51842,0.9456,0.93613,0.89394,0.92216,0.74189,0.58859,0.33503,0.85196,0.00048275,0.00048275,0.00048275
33,14630.3,0.76717,0.52711,0.94384,0.90053,0.9054,0.91997,0.73793,0.60284,0.35334,0.85521,0.000458,0.000458,0.000458
34,15056,0.74582,0.51495,0.9356,0.93472,0.90035,0.91864,0.73994,0.57709,0.33815,0.84931,0.00043325,0.00043325,0.00043325
35,15485.4,0.73932,0.50821,0.93417,0.92593,0.89966,0.92093,0.74479,0.58312,0.32737,0.85316,0.0004085,0.0004085,0.0004085
36,15913.3,0.75066,0.50696,0.94091,0.93091,0.91308,0.91895,0.73745,0.58399,0.32488,0.84733,0.00038375,0.00038375,0.00038375
37,16339.9,0.76101,0.52928,0.93848,0.91644,0.91979,0.92131,0.74742,0.57038,0.32112,0.84809,0.000359,0.000359,0.000359
38,16770.6,0.72842,0.51085,0.92191,0.93489,0.89253,0.91837,0.73958,0.58676,0.32831,0.8474,0.00033425,0.00033425,0.00033425
